Qubit,Pair,T1 (µs),T2 (µs),f1QRB,f1QRB std err,f1Q sim. RB,f1Q sim. RB std err,fRO,fISWAP,Avg T1,Avg T2,Avg f1QRB,Avg fRO
,23-30,,,,,,,,0.5,0.000035518264048017834,0.00001835614052769774,0.999221425830479,0.9695
,24-25,,,,,,,,0.5,0.0000370114628063245,0.000020366040711872202,0.9991407936809995,0.9635
,24-31,,,,,,,,0.9919669696337516,0.000038958072870909355,0.000020708219291010188,0.9990750708072806,0.9664999999999999
,25-26,,,,,,,,0.9359576145151967,0.00002744379759322957,0.00001737773581622637,0.9991322015880202,0.9385
,25-32,,,,,,,,0.5,0.000017733890409821207,0.0000148904372390124,0.9932894754153141,0.9664999999999999
,26-27,,,,,,,,0.5,0.000017805093787792714,0.00001828811108084416,0.9989390093076541,0.9510000000000001
,26-33,,,,,,,,0.5,0.0000299780294655827,0.000019701391617332753,0.9989397622513818,0.912
,28-29,,,,,,,,0.9851060875997522,0.000020099603878387384,0.000020460641429687065,0.9987005844979138,0.96
,28-35,,,,,,,,0.5,0.000021665482233812483,0.000026821643506313997,0.9992263408131157,0.9615
,29-30,,,,,,,,0.9866781408034185,0.000030353919339254354,0.000018823193546069206,0.9988603830715006,0.9664999999999999
,29-36,,,,,,,,0.5,0.000030106880679281467,0.00001870987625107734,0.9989321151218182,0.966
,30-31,,,,,,,,0.9871495036378671,0.00003507267517832702,0.000019097752684049674,0.9991166604525381,0.976
,30-37,,,,,,,,0.9864626742824448,0.00002398673421488695,0.00001494462829176868,0.9985207865429977,0.9545
,31-32,,,,,,,,0.9631909487057672,0.00001968050047440606,0.000015232615818150386,0.9932237525415951,0.9695
,31-38,,,,,,,,0.9867462083505704,0.00003325490170058565,0.000019460401251891746,0.9991492520300398,0.9715
,32-33,,,,,,,,0.9805533550383081,0.00002026812228217434,0.000017214093040118783,0.9930970360786757,0.94
,32-39,,,,,,,,0.9885175056825793,0.000012616911686857968,0.000013574389256421071,0.9903464306515146,0.9644999999999999
,33-34,,,,,,,,0.9920483887483595,0.0000402591868948754,0.000028853630062330993,0.9991174828619835,0.9325
